minacious,pitiful,,impress,,vex,,
minatory,pitying,,indulge,,visceral,,
misanthrop,plaintiv,,inebriate,,warning signal,,
misanthropi,plaintive,,infatu,,wary,,
misanthropic,plaintively,,infatuation,,watchful,,
misanthropical,plaintiveness,,inhale,,wistful,,
misanthropy,plane,,insouci,,wobbly,,
misocainea,pointless,,insouciance,,wonky,,
misogami,polish,,inspir,,worried,,
misogamy,pondering,,inspire,,worry,,
misogyn,poor,,inspired,,zippy,,
misogyni,pop,,instigate,,,,
misogynic,pour down,,intelligent,,,,
misogynism,press down,,interest,,,,
misogyny,prime,,intimaci,,,,
misolog,prostrate,,intimacy,,,,
misology,pull away,,intox,,,,
mison,pull back,,intoxicate,,,,
misoneism,pull down,,invigorate,,,,
misopedia,pull in one's horns,,jocular,,,,
moth-eaten,purposeless,,jocularity,,,,
mouth off,push down,,jocund,,,,
murder,quarantined,,jocundity,,,,
murderously,rag,,jolli,,,,
murderousness,ravage,,jolliti,,,,
nark,raw,,jollity,,,,
nauseate,recall,,jolly,,,,
nettl,recede,,jolly along,,,,
nettle,recluse,,jolly up,,,,
nettled,reclusive,,jovial,,,,
nettlesom,refine,,joviality,,,,
nettlesome,reflective,,joy,,,,
neutral,regret,,joyful,,,,
odium,regretful,,joyfully,,,,
offend,regular,,joyfulness,,,,
offended,remors,,joyous,,,,
offens,remorse,,joyously,,,,
offense,remorseful,,joyousness,,,,
ominous,remorsefully,,jubil,,,,
oppress,remove,,jubilance,,,,
outrag,repent,,jubilancy,,,,
outrage,repentance,,jubilant,,,,
outraged,repentant,,jubilantly,,,,
overjeal,repentantly,,jubilate,,,,
overjealous,retire,,jubilation,,,,
pained,retreat,,jump for joy,,,,
pass over,rile,,keen,,,,
peckish,riled,,keenness,,,,
peev,roiled,,kick,,,,
peeve,rue,,kid,,,,
peeved,rueful,,kind,,,,
peevish,ruefulli,,kindheart,,,,
peril,ruefully,,kindhearted,,,,
persecut,ruefulness,,kindheartedness,,,,
persecute,ruminative,,kindly,,,,
peski,run aground,,laudabl,,,,
pesky,run out,,laudably,,,,
pester,ruth,,level-headed,,,,
pestered,ruthfulness,,levelheaded,,,,
pestering,sad,,lift up,,,,
pestifer,sadden,,light-headed,,,,
pestiferous,saddening,,lightheaded,,,,
pettish,sadly,,lighthearted,,,,
petulant,sadness,,lightheartedness,,,,
piercingly,saturnine,,lightsom,,,,
piqu,savorless,,lightsomeness,,,,
pique,savourless,,likabl,,,,
piss,scattered,,likable,,,,
pissed,scourge,,like,,,,
pissed off,scummy,,likeabl,,,,
plaguey,scurvy,,likeable,,,,
plaguy,seclude,,liking,,,,
poisonous,self-destructive,,live,,,,
pout,self-piti,,live up to,,,,
prehensil,self-pity,,lively,,,,
prehensile,self-reproach,,look for,,,,
profane,senseless,,look to,,,,
provok,separated,,look up to,,,,
provoked,sequester,,loose,,,,
queer,sequestrate,,love,,,,
quick temp,set apart,,lovesom,,,,
quick temper,set-apart,,lovesome,,,,
rabbit on,shame,,loving,,,,
rag,shamed,,lovingly,,,,
rage,shamefac,,lovingness,,,,
raging,shamefaced,,loyalti,,,,
rancor,shell,,loyalty,,,,
rancour,shoot down,,lull,,,,
rankle,slimy,,mad,,,,
rant,slump,,manic,,,,
ranting,small,,meet,,,,
rape,smash,,merri,,,,
raring,so-so,,merrili,,,,
rave,somber,,merrily,,,,
raving,somberness,,merriment,,,,
ravingly,sombre,,merry,,,,
ravish,sorri,,mirth,,,,
red,sorrow,,mirthful,,,,
reddened,sorrowful,,mirthfully,,,,
repel,sorrowfully,,mirthfulness,,,,
reprehensible,sorrowfulness,,move,,,,
resent,sorrowing,,near,,,,
resentful,sorry,,nigh,,,,
resentfully,sorry for,,occupi,,,,
resentment,sour,,occupy,,,,
reveng,split,,offbeat,,,,
revengeful,squash,,offering protect,,,,
revengefully,squeeze,,offering protection,,,,
revolt,squelch,,open,,,,
rile,stabilise,,open air,,,,
riled,stabilize,,open up,,,,
roil,staccato,,opened,,,,
roiled,stark,,optimistic,,,,
roll,steadfast,,out-of-doors,,,,
roughshod,steadily,,outdoors,,,,
sarcastic,steady,,overjoy,,,,
savage,steamed,,overjoyed,,,,
scandalise,stiff,,overt,,,,
scandalize,straight,,pander,,,,
scene,strand,,partial,,,,
score,stranded,,partiality,,,,
scorn,stray,,passive,,,,
